Datum,Abflugort,Zielort,Distanz (Meilen),Flugdauer,Treibstoffverbrauch (Gallons),Emissionen (Metrische Tonnen)
05.05.2024,"Lovell Field Airport (CHA) Chattanooga, Tennessee","Nashville International Airport (BNA) Tennessee",120,"1 hour 29 minutes",490,5
06.05.2024,"Coeur 'alene Airport (COE) Kootenai County, Idaho","Fort Lauderdale Executive Airport (FXE) Florida",2500,"5 hours 8 minutes",1700,15
06.05.2024,"N/A","Myrtle Beach International Airport (MYR) South Carolina",520,"1 hour 17 minutes",420,4
09.05.2024,"Boca Raton Airport (BCT) Florida","Northern Colorado Regional Airport (FNL) Loveland Colorado",1700,"3 hours 26 minutes",1100,10
09.05.2024,"Myrtle Beach International Airport (MYR) South Carolina","Boca Raton Airport (BCT) Florida",510,"1 hour 14 minutes",410,4
10.05.2024,"Northern Colorado Regional Airport (FNL) Loveland Colorado","Myrtle Beach International Airport (MYR) South Carolina",1500,"2 hours 49 minutes",930,9
10.05.2024,"Myrtle Beach International Airport (MYR) South Carolina","Tri-cities Regional Airport (TRI) Blountville, Tennessee",280,"1 hour 6 minutes",360,3
11.05.2024,"Tri-cities Regional Airport (TRI) Blountville, Tennessee","Fort Lauderdale Executive Airport (FXE) Florida",720,"1 hour 20 minutes",440,4
16.05.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Naples Airport (APF) Florida",100,"1 hour 25 minutes",470,4
17.05.2024,"Naples Airport (APF) Florida","Westchester County Airport (HPN) White Plains, New York",1100,"2 hours 23 minutes",790,7
19.05.2024,"Westchester County Airport (HPN) White Plains, New York","Palm Beach International Airport (PBI) West Palm Beach, Florida",1060,"2 hours 18 minutes",760,7
23.05.2024,"Tampa International Airport (TPA) Florida","Provo Utah Lake International Airport (PVU) Utah",1900,"4 hours 13 minutes",1400,13
23.05.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","Tampa International Airport (TPA) Florida",180,"52 minutes",290,3
24.05.2024,"San Jose International Airport (SJC) California","Philadelphia International Airport (PHL) Pennsylvania",2500,"6 hours 5 minutes",2000,18
24.05.2024,"Provo Utah Lake International Airport (PVU) Utah","San Jose International Airport (SJC) California",590,"1 hour 28 minutes",480,4
25.05.2024,"Philadelphia International Airport (PHL) Pennsylvania","Fort Lauderdale Hollywood International Airport (FLL) Florida",1000,"2 hours 41 minutes",890,8
27.05.2024,"Fort Lauderdale Hollywood International Airport (FLL) Florida","Curtis Brown Jr Airfield (EYF) Elizabethtown, North Carolina",600,"1 hour 19 minutes",440,4
29.05.2024,"Curtis Brown Jr Airfield (EYF) Elizabethtown, North Carolina","Fort Lauderdale Executive Airport (FXE) Florida",590,"1 hour 35 minutes",520,5
12.06.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Philadelphia International Airport (PHL) Pennsylvania",990,"1 hour 51 minutes",610,6
13.06.2024,"Philadelphia International Airport (PHL) Pennsylvania","Miami International Airport (MIA) Florida",1000,"2 hours 42 minutes",890,8
14.06.2024,"Naples Airport (APF) Florida","Nantucket Memorial Airport (ACK) Massachusetts",1200,"3 hours 37 minutes",1200,11
14.06.2024,"La Guardia Airport (LGA) New York","Naples Airport (APF) Florida",1100,"2 hours 30 minutes",830,8
14.06.2024,"Miami International Airport (MIA) Florida","La Guardia Airport (LGA) New York",1100,"2 hours 11 minutes",720,7
14.06.2024,"Nantucket Memorial Airport (ACK) Massachusetts","Philadelphia International Airport (PHL) Pennsylvania",290,"1 hour 11 minutes",390,4
15.06.2024,"Philadelphia International Airport (PHL) Pennsylvania","Marsh Harbour Airport (MHH) Marsh Harbor,",930,"1 hour 50 minutes",610,6
15.06.2024,"Marsh Harbour Airport (MHH) Marsh Harbor,","Fort Lauderdale Executive Airport (FXE) Florida",190,"47 minutes",260,2
19.06.2024,"Fort Lauderdale Executive Airport (FXE) Florida","N/A",860,"2 hours 1 minute",670,6
19.06.2024,"Dallas Love Field Airport (DAL) Texas","N/A",700,"1 hour 40 minutes",550,5
19.06.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Dallas Love Field Airport (DAL) Texas",700,"1 hour 35 minutes",520,5
23.06.2024,"Fernando Luis Ribas Dominicci Airport (SIG) San Juan,","Logan International Airport (BOS) Boston",1700,"3 hours 29 minutes",1200,11
23.06.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Fernando Luis Ribas Dominicci Airport (SIG) San Juan,",1000,"2 hours 6 minutes",690,6
24.06.2024,"Logan International Airport (BOS) Boston","Naples Airport (APF) Florida",1300,"2 hours 35 minutes",850,8
24.06.2024,"Naples Airport (APF) Florida","Fort Lauderdale Executive Airport (FXE) Florida",100,"1 hour 49 minutes",600,6
27.06.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Sangster International Airport (MBJ) Montego Bay,",550,"1 hour 25 minutes",470,4
02.07.2024,"Sangster International Airport (MBJ) Montego Bay,","Fort Lauderdale Executive Airport (FXE) Florida",550,"1 hour 12 minutes",400,4
06.07.2024,"Cyril King Airport (STT) Saint Thomas,","Philadelphia International Airport (PHL) Pennsylvania",1600,"3 hours 24 minutes",1100,10
06.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Cyril King Airport (STT) Saint Thomas,",1100,"2 hours 37 minutes",860,8
07.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","N/A",860,"2 hours 22 minutes",780,7
08.07.2024,"Westchester County Airport (HPN) White Plains, New York","Fort Lauderdale Executive Airport (FXE) Florida",1100,"2 hours 12 minutes",730,7
08.07.2024,"Philadelphia International Airport (PHL) Pennsylvania","Westchester County Airport (HPN) White Plains, New York",120,"1 hour 15 minutes",410,4
18.07.2024,"Fort Lauderdale Executive Airport (FXE) Florida","Luis Munoz Marin International Airport (SJU) San Juan,",1100,"3 hours 14 minutes",1100,10
18.07.2024,"Luis Munoz Marin International Airport (SJU) San Juan,","Palm Beach International Airport (PBI) West Palm Beach, Florida",1100,"2 hours 41 minutes",890,8
19.07.2024,"Miami International Airport (MIA) Florida","Portland International Jetport (PWM) Maine",1400,"2 hours 51 minutes",940,9
19.07.2024,"Palm Beach International Airport (PBI) West Palm Beach, Florida","Miami International Airport (MIA) Florida",70,"1 hour 7 minutes",370,3
20.07.2024,"Portland International Jetport (PWM) Maine","William Hobby Airport (HOU) Houston",1700,"3 hours 38 minutes",1200,11
